term_type,canonical,parent_articulation,aliases,abbreviations,source_basis,confidence,notes,source_urls
articulation,sustain,,long|sus|sustained|long sustain,sus|sust,Spitfire UACC; curator,high,Use as normalized long-note articulation. UACC calls this LONG (SUSTAIN).,https://support.spitfireaudio.com/en/articles/11816194-how-do-i-use-spitfire-audio-kontakt-libraries-with-sibelius
articulation,legato,,leg|slur legato|connected,leg,Spitfire UACC; curator,high,Base articulation; vendor qualifiers belong in variant.,https://support.spitfireaudio.com/en/articles/11816194-how-do-i-use-spitfire-audio-kontakt-libraries-with-sibelius
articulation,staccato,,stac|stacc|stacc.,stac|stacc,MEI; common notation; curator,high,MEI identifier is stacc.,https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html
articulation,staccatissimo,,stacss|stacciss|staccatiss|staccatissimo,stacss|stacciss,MEI; EastWest Hollywood Orchestra; curator,high,EastWest uses StacSs in Hollywood Orchestra naming.,https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html | https://media.soundsonline.com/manuals/EW-Hollywood-Orchestra-Opus-Edition-User-Manual-b.pdf
articulation,spiccato,,spicc|spic|spicc.,spicc|spic,MEI; common notation; curator,high,,https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html
articulation,marcato,,marc|marc.|marcato,marc,MEI; common notation; curator,high,,https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html
articulation,tenuto,,ten|ten.|tenuto,ten,MEI; common notation,high,,https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html
articulation,accent,,acc|accented,acc,MEI; curator,high,,https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html
articulation,tremolo,,trem|trem.|tremolando,trem,Spitfire UACC; common notation; curator,high,Do not confuse with measured tremolo/repetitions if database distinguishes them.,https://support.spitfireaudio.com/en/articles/11816194-how-do-i-use-spitfire-audio-kontakt-libraries-with-sibelius
articulation,trill,,tr|trill|trills,tr,common notation; curator,high,,
articulation,pizzicato,,pizz|pizz.|pizzicato,pizz,Frans Absil; common notation; curator,high,,https://www.fransabsil.nl/htm/instrum.htm
articulation,snap pizzicato,,snap pizz|bartok pizz|bartók pizzicato|bartok pizzicato,snap|lhpizz,MEI; curator,medium,MEI has snap and lhpizz as separate tokens; use this only where acoustically intended.,https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html
articulation,harmonic,,harm|harmonic|harmonics|flageolet,harm,MEI; Spitfire UACC; curator,high,,https://support.spitfireaudio.com/en/articles/11816194-how-do-i-use-spitfire-audio-kontakt-libraries-with-sibelius | https://music-encoding.org/guidelines/v5/data-types/data.ARTICULATION.html
